tweet_text,hate_score
rt mayasolovely woman complain clean house amp man always take trash,2
rt mleew boy dats coldtyga dwn bad cuffin dat hoe st place,1
rt urkindofbrand dawg rt sbabylife ever fuck bitch start cry confuse shit,1
rt c_g_anderson viva_based look like tranny,1
rt shenikaroberts shit hear might true might faker bitch tell ya,1
t_madison_x shit blow meclaim faithful somebody still fuck hoe,1
__brighterdays sit hate another bitch get much shit go,1
selfiequeenbri tire big bitch come us skinny girls,1
amp might get ya bitch back amp,1
rhythmixx_ hobbies include fight mariam bitch,1
keeks bitch curve everyone lol walk conversation like smh,1
murda gang bitch gang land,1
hoe smoke losers yea go ig,1
bad bitch thing like,1
bitch get,1
bitch nigga miss,1
bitch plz whatever,1
bitch love,1
bitch get cut everyday b,1
black bottle amp bad bitch,1
break bitch tell nothing,1
cancel bitch like nino,1
see hoe change,1
fuck bitch even suck dick kermit videos bout fuck ig,1
get ya bitch tip toe hardwood floor,1
pussy lips like heaven doors,1
hoe hit,1
meet pussy ocean dr give pussy pill,1
need trippy bitch fuck hennessy,1
spend money want bitch business,1
txt old bitch new bitch pussy wetter,1
would say back old old bitch would get excite,1
bout murder game pussy nigga shut,1
toe pussy stink,1
bitter bitch wrap angry bird app,1
ya bitch,1
nothing cut bitch,1
jus meet son ya mane ass bitch shots,1
lam cry hoe tear clown,1
like snoop say love hoe,1
momma say pussy cat inside doghouse,2
hat hoe favorite mw sevenone,1
nice girls bad make get naughty bad yello hoe real nice body south chick like real thick,1
pimp pimp hoe future voice,1
post picture pussy get like,1
pussy powerful drug happyhumpday,1
quick piece pussy call drive,1
run round like brand new pussy bout get fuck,1
bitch even worst send guy,1
hoe like niggas spend money talk bout,1
trust niggas bitch,1
niggas b cuff hoe never bitch,1
dodge bullet darealkha da bitch cut pregnant bind thank god,1
young pill chamberlain bitch love music,1
vandalsavage_ teanna trump probably cleaner twitter hoe,1
dahomiefuzz gay niggas could wait act like bitch tonight,1
the_paradox steal cat n replace pitbull rt sbabylife the_paradox bitch,1
amp go always hoe,1
son bitch take tic tacs like movie,1
want get money fuck model bitch russell simmons,1
seniorprobs probably wouldnt mind school much didnt deal bitch ass teachers retweet,1
axdemery fuck fag say,1
arizzleindacut females think date pussy cute stuff make pussy,1
