Statement,Link,Date,Source,Label
A Texas farmer was “arrested for using illegal immigrants for free labor by pretending to be Joe Biden.”,https://www.politifact.com/factchecks/2022/jul/21/viral-image/isnt-real-nbc-news-headline-about-biden-impersonat/,7/21/2022 0:00,Viral image,FALSE
Video shows Joe Biden sleeping at the Arab Conference in Saudi Arabia.,https://www.politifact.com/factchecks/2022/jul/21/instagram-posts/biden-didnt-sleep-saudi-arabia-summit/,7/21/2022 0:00,Instagram posts,FALSE
38000 Texans had their license to carry denied revoked or suspended over the last five years because law enforcement deemed them too dangerous to carry a loaded gun in public. But thanks to Greg Abbott's new law they don't need a license to carry anymore.,https://www.politifact.com/factchecks/2022/jul/21/beto-orourke/orourkes-statistic-tweet-about-handgun-licenses/,7/21/2022 0:00,Beto O'Rourke,barely-true
An image shows Rep. Marjorie Taylor Greene in front of a cross with a figurine of former President Donald Trump on it.,https://www.politifact.com/factchecks/2022/jul/21/tiktok-posts/viral-tiktok-shares-doctored-photo-marjorie-taylor/,7/21/2022 0:00,TikTok posts,FALSE
Donald Trump gave a speech in Prescott Valley Arizona on July 18 2022.,https://www.politifact.com/factchecks/2022/jul/21/facebook-posts/no-trump-didnt-speak-prescott-valley-yet/,7/21/2022 0:00,Facebook posts,FALSE
“Biden threatens to assassinate Ukraine president.”,https://www.politifact.com/factchecks/2022/jul/21/facebook-posts/no-biden-didnt-threaten-kill-zelenskyy/,7/21/2022 0:00,Facebook posts,pants-fire
“John Fetterman wants to release one-third of dangerous criminals back into our communities.”,https://www.politifact.com/factchecks/2022/jul/21/mehmet-oz/pennsylvania-senate-race-mehmet-oz-distorts-john-f/,7/21/2022 0:00,Mehmet Oz,barely-true
“My company was building the Keystone Pipeline when (President Joe) Biden canceled it.”,https://www.politifact.com/factchecks/2022/jul/21/tim-michels/michels-target-claim-my-company-was-building-keyst/,7/21/2022 0:00,Tim Michels,mostly-true
Ukraine President Volodymyr Zelenskyy makes $11 million a month and has a net worth of $596 million.,https://www.politifact.com/factchecks/2022/jul/21/facebook-posts/theres-no-evidence-ukraines-president-has-net-wort/,7/21/2022 0:00,Facebook posts,FALSE
The cancellation of the Keystone XL pipeline by Joe Biden “killed hundreds of jobs sent gas prices way up.”,https://www.politifact.com/factchecks/2022/jul/21/tim-michels/end-keystone-pipeline-did-cost-jobs-most-were-temp/,7/21/2022 0:00,Tim Michels,barely-true
Rep. Alexandria Ocasio-Cortez was “faking being arrested” during an abortion-rights protest outside the Supreme Court.,https://www.politifact.com/factchecks/2022/jul/20/instagram-posts/no-alexandria-ocasio-cortez-did-not-fake-her-arres/,7/20/2022 0:00,Instagram posts,FALSE
Images of Plymouth Rock prove sea levels are not rising.,https://www.politifact.com/factchecks/2022/jul/20/facebook-posts/plymouth-rock-pictures-dont-prove-sea-levels-are-s/,7/20/2022 0:00,Facebook posts,FALSE
“My opponent Cindy Axne has actively sought to defund the police.”,https://www.politifact.com/factchecks/2022/jul/20/zach-nunn/zach-nunn-falsely-claims-cindy-axne-sought-defund-/,7/20/2022 0:00,Zach Nunn,FALSE
Benadryl can be used to reduce swelling from rattlesnake bites.,https://www.politifact.com/factchecks/2022/jul/20/facebook-posts/benandryl-wont-relieve-swelling-rattlesnake-bites/,7/20/2022 0:00,Facebook posts,FALSE
Fifty-four percent of Wisconsinites live in a child care desert.,https://www.politifact.com/factchecks/2022/jul/20/sarah-godlewski/democratic-us-senate-candidate-says-54-people-wisc/,7/20/2022 0:00,Sarah Godlewski,mostly-true
