Statement,Label,Date
anne heche murder illuminati work movie jeffrey epstein,FALSE,8/16/2022
reuters report white house employee andrew bat use nazi symbolism recent tweet,FALSE,8/16/2022
covid vaccine cause ashton kutcher lose vision hear ability walk,FALSE,8/16/2022
empty store shelve walmart south carolina meat shortage,FALSE,8/16/2022
put monkeypox water atlanta,FALSE,8/15/2022
donald trump jr tweet father love almost supporters please come mar lago support president trump many important people come club need keep clean,FALSE,8/15/2022
video show ron desantis argue sean hannity,FALSE,8/15/2022
bill gate aoc say cow emit pollution car,FALSE,8/15/2022
brian kemp want investigate punish women miscarriages,FALSE,8/12/2022
boston children hospital offer gender affirm hysterectomies young girls,FALSE,8/12/2022
government arm irs joe biden raise tax disarm americans,FALSE,8/12/2022
photo show ghislaine maxwell bruce reinhart,FALSE,8/12/2022
pennsylvania send mail ballot get back,FALSE,8/11/2022
electric cars california sustainable batteries recyclable state recycle,FALSE,8/11/2022
urgente china confirma la invasi n de los ngeles baja california prepararon destructores,FALSE,8/10/2022
former president donald trump ask troop around capitol make sure everyone safe jan turn democrats,FALSE,8/10/2022
video show clark county poll worker act illegally ask people place ballot bag outside drop box,FALSE,8/10/2022
photo show electric cars buy civil servants france abandon expensive replace batteries,FALSE,8/10/2022
texas farmer arrest use illegal immigrants free labor pretend joe biden,TRUE,7/21/2022 0:00
video show joe biden sleep arab conference saudi arabia,TRUE,7/21/2022 0:00
image show rep marjorie taylor greene front cross figurine former president donald trump,TRUE,7/21/2022 0:00
donald trump give speech prescott valley arizona july,TRUE,7/21/2022 0:00
ukraine president volodymyr zelenskyy make million month net worth million,TRUE,7/21/2022 0:00
rep alexandria ocasiocortez fake arrest abortionrights protest outside supreme court,TRUE,7/20/2022 0:00
image plymouth rock prove sea level rise,TRUE,7/20/2022 0:00
opponent cindy axne actively seek defund police,TRUE,7/20/2022 0:00
benadryl use reduce swell rattlesnake bite,TRUE,7/20/2022 0:00
antifa already inside capitol floor plan dress trump supporters january prove attack setup,TRUE,7/19/2022 0:00
photo show woman want impersonate nurse kidnap infant local yous hospital,TRUE,7/19/2022 0:00
